"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",177,123,119
"AR",58,1,32
"ARID3A",31,83,43
"ARNT",23,155,145
"ARNTL",106,31,114
"ASCL1",140,167,70
"ASCL2",84,24,56
"ATF1",117,150,140
"ATF2",143,189,188
"ATF3",66,45,24
"BACH1",167,162,172
"BACH2",9,52,21
"BARX2",147,103,147
"BATF",144,154,146
"BCL11A",6,17,25
"BCL6",142,85,110
"BHLHE40",164,126,156
"CEBPA",92,62,106
"CEBPB",4,130,174
"CEBPD",44,63,22
"CLOCK",1,8,35
"CTCF",14,111,189
"CTCFL",94,38,89
"DUX4",95,125,136
"E2F1",20,2,1
"E2F2",26,22,9
"E2F3",191,115,90
"E2F4",16,46,49
"E2F6",2,66,10
"E2F7",7,7,46
"E2F8",169,168,141
"EBF1",67,35,11
"EGR1",141,133,76
"EGR2",93,44,149
"EHF",183,188,187
"ELF1",70,86,44
"ELK1",55,131,116
"ELK3",24,65,92
"ELK4",190,171,160
"EPAS1",47,48,100
"ESR1",3,27,144
"ESR2",126,69,36
"ESRRA",11,40,14
"ETS2",63,139,33
"ETV1",115,95,69
"ETV5",104,49,42
"ETV6",194,194,193
"ETV7",136,166,73
"FOS",109,67,3
"FOSL1",57,90,80
"FOSL2",159,72,66
"FOXA1",135,187,186
"FOXA2",180,113,48
"FOXD2",13,79,34
"FOXG1",154,68,60
"FOXH1",145,102,83
"FOXK1",168,101,151
"FOXM1",121,114,115
"FOXO3",68,47,58
"FOXP1",160,108,4
"FOXP2",98,54,23
"FOXP3",131,145,163
"GATA1",51,29,191
"GATA2",43,109,96
"GATA3",162,110,12
"GATA4",138,74,94
"GLI2",18,5,108
"GLIS1",71,82,26
"GMEB1",152,161,79
"GMEB2",99,94,120
"GRHL2",111,42,37
"GTF2B",193,192,192
"GTF2I",72,89,124
"HEY1",54,39,31
"HIF1A",161,174,125
"HINFP",39,164,173
"HNF1B",114,105,175
"HNF4A",38,84,67
"HNF4G",107,118,180
"HOXA1",77,178,157
"HOXA4",178,190,179
"HOXA6",163,158,181
"HOXB13",59,80,126
"HOXC6",90,184,162
"HSF1",22,70,47
"HSF2",153,159,77
"IRF1",171,173,50
"IRF2",133,176,127
"IRF3",174,141,169
"IRF4",36,12,39
"JUN",82,76,101
"JUNB",101,20,82
"JUND",192,193,194
"KLF1",103,56,137
"KLF10",75,21,15
"KLF3",175,181,185
"KLF4",155,137,170
"KLF9",102,146,113
"KMT2A",60,51,45
"LHX2",187,180,153
"MAF",113,128,129
"MAFF",130,10,2
"MAFK",28,122,154
"MECOM",56,149,109
"MEF2A",124,91,78
"MEF2C",34,175,105
"MEIS1",40,55,123
"MITF",148,15,107
"MNT",166,132,95
"MXI1",52,26,55
"MYB",61,6,143
"MYBL2",33,41,64
"MYC",78,75,171
"MYOD1",5,32,52
"NANOG",49,144,103
"NFAT5",76,37,16
"NFATC1",89,116,86
"NFE2",30,25,40
"NFIC",15,18,30
"NFYA",80,96,29
"NFYB",50,142,72
"NKX2-1",41,30,65
"NR2C2",73,43,20
"NR2F2",182,179,190
"NRF1",81,57,7
"ONECUT1",125,53,138
"OTX2",85,134,161
"PAX5",100,59,17
"PBX1",151,4,18
"PBX3",97,183,134
"PGR",116,172,152
"POU2F1",35,13,130
"POU2F2",69,33,27
"PPARG",158,81,99
"PRDM1",120,165,98
"PRDM14",87,136,88
"RARG",42,28,91
"RBPJ",186,170,122
"RELA",173,182,176
"REST",189,129,155
"RFX2",37,11,85
"RFX5",188,177,135
"RUNX1",10,14,5
"RUNX2",65,19,19
"RUNX3",112,135,87
"RXRA",29,61,54
"RXRG",62,87,53
"SETDB1",137,60,165
"SIX5",184,157,102
"SMAD3",156,148,112
"SOX17",48,34,41
"SP1",86,140,61
"SP4",132,99,168
"SPI1",150,77,167
"SPIB",64,78,118
"SREBF1",110,153,139
"SRF",149,120,178
"STAT1",119,138,75
"STAT2",128,151,133
"STAT3",108,152,164
"STAT4",45,3,38
"STAT5A",134,112,121
"STAT5B",122,73,142
"TBP",88,92,104
"TCF12",185,185,183
"TCF21",17,64,84
"TCF3",79,191,158
"TCF4",172,143,150
"TCF7L2",83,100,111
"TEAD4",146,119,128
"TFAP2A",21,16,63
"TFAP2C",19,98,13
"TFAP4",139,93,81
"TFDP1",129,121,68
"THAP1",8,50,6
"TP63",105,88,59
"TP73",91,97,71
"USF1",53,127,28
"USF2",27,156,132
"VDR",118,106,51
"VEZF1",32,36,131
"XBP1",176,163,159
"YY1",157,186,182
"ZBTB33",127,104,117
"ZBTB7A",74,71,62
"ZBTB7B",96,124,57
"ZEB1",170,117,184
"ZFP42",123,169,177
"ZFX",165,147,166
"ZKSCAN1",46,9,74
"ZNF143",25,23,8
"ZNF263",179,107,97
"ZNF384",181,160,148
"ZNF76",12,58,93
